Names,links,Image,Description
US,https://timesofindia.indiatimes.com/us,,"Chhaava’s excellence lies in its terrific climax. You just wish the film relied and trusted its solid story more than Rahman's music, which largely feels out of place."
IN,https://timesofindia.indiatimes.com/?loc=in,,"Dhoom Dhaam is a fast-paced rollercoaster of action, comedy, and mystery, powered by Yami Gautam Dhar and Pratik Gandhi’s electric chemistry."
,https://timesofindia.indiatimes.com,https://static.toiimg.com/photo/79638690.cms,"Despite its convoluted plot and occasional pacing issues, Brave New World delivers thrilling aerial battles and hand-to-hand combats, strong performances, and enough spectacle to entertain superhero"
City,https://timesofindia.indiatimes.com/city,,How to make South Indian Paneer Butter Masala Dosa for breakfast
mumbai,https://timesofindia.indiatimes.com/city/mumbai,,​10 ancient animals that still exist
delhi,https://timesofindia.indiatimes.com/city/delhi,,10 exotic animals to spot inside Kashmir's Dachigam National Park
bengaluru,https://timesofindia.indiatimes.com/city/bangalore,,10 powerful ways to detox and reset your mind
Hyderabad,https://timesofindia.indiatimes.com/city/hyderabad,,10 things parents should never do in the morning before sending kids to school
kolkata,https://timesofindia.indiatimes.com/city/kolkata,,10 health benefits of chewing cloves daily
chennai,https://timesofindia.indiatimes.com/city/chennai,,8 animal species that are found only in India
City,https://timesofindia.indiatimes.com/city,,10 birds that eat meat and other animals
agra,https://timesofindia.indiatimes.com/city/agra,,Rekha Gupta to be Delhi CM: Frontrunners lose race again as BJP picks first-time MLA
agartala,https://timesofindia.indiatimes.com/city/agartala,,"Rekha Gupta meets LG, stakes claim to form govt in Delhi"
ahmedabad,https://timesofindia.indiatimes.com/city/ahmedabad,,"She was young, healthy, and full of life — so why did her heart stop?"
ajmer,https://timesofindia.indiatimes.com/city/ajmer,,Who is Rekha Gupta? Delhi's next chief minister
amaravati,https://timesofindia.indiatimes.com/city/amaravati,,"Why Axar, Jadeja are irreplaceable in India's CT plans"
amritsar,https://timesofindia.indiatimes.com/city/amritsar,,Dominant NZ crush Pakistan in Champions Trophy opener
bareilly,https://timesofindia.indiatimes.com/city/bareilly,,15 growth stocks that gave spectacular returns when Nifty 50 did not
bhubaneswar,https://timesofindia.indiatimes.com/city/bhubaneswar,,Trump asks $21m question on top of familiar tantrum on India's tariff
bhopal,https://timesofindia.indiatimes.com/city/bhopal,,George Clooney's surprising message for Donald Trump: '...because our country needs it'
chandigarh,https://timesofindia.indiatimes.com/city/chandigarh,,'Dictator without elections': Donald Trump ups attack on Ukraine's Zelenskyy
chhatrapati sambhajinagar,https://timesofindia.indiatimes.com/city/aurangabad,,Johnny Depp set to return as Jack Sparrow in next 'Pirates of the Caribbean' film?
coimbatore,https://timesofindia.indiatimes.com/city/coimbatore,,Why Atishi said Rekha Gupta's appointment as Delhi CM a matter of pride
cuttack,https://timesofindia.indiatimes.com/city/cuttack,,"2-time NHL MVP Bobby Hull had Stage 2 CTE when he died in 2023, researchers confirmed"
dehradun,https://timesofindia.indiatimes.com/city/dehradun,,Dubai pitch curator shares what India can expect in Champions Trophy
erode,https://timesofindia.indiatimes.com/city/erode,,Kejriwal's message for Rekha Gupta: 'Hope she will fulfill all promises'
faridabad,https://timesofindia.indiatimes.com/city/faridabad,,Shopping: Discounts Up to 60% Off on Gadgets & Electronics
ghaziabad,https://timesofindia.indiatimes.com/city/ghaziabad,,"Trump purge: Thousands of federal workers fired, programs frozen, and grants halted"
goa,https://timesofindia.indiatimes.com/city/goa,,16 women accuse Justin Tucker of inappropriate sexual behavior; know all about the wife and son of the Baltimore Ravens kicker
gurgaon,https://timesofindia.indiatimes.com/city/gurgaon,,iPhone 16e vs iPhone 16: How the two iPhone 16 models compare — which one to buy and why
guwahati,https://timesofindia.indiatimes.com/city/guwahati,,"Meet the company building content management system for top brands such as Lego, Burberry, Walmart, Alaska Airlines, and ASICS"
hubballi,https://timesofindia.indiatimes.com/city/hubli,,"Blood moon 2025: When, where, and how to watch the moon turning red during March's total lunar eclipse"
imphal,https://timesofindia.indiatimes.com/city/imphal,,The educational journey of Delhi's new CM Rekha Gupta and her lesser-known details
indore,https://timesofindia.indiatimes.com/city/indore,,"What is double pneumonia, the condition Pope Francis is suffering from?"
itanagar,https://timesofindia.indiatimes.com/city/itanagar,,France Questions Trump's Logic As He Blames Zelensky For Starting War | 'Putin Love' Rattles NATO
jaipur,https://timesofindia.indiatimes.com/city/jaipur,,"Blake Lively Gets Major Support, Two Actresses Ready to Testify Against Justin Baldoni | WATCH"
jammu,https://timesofindia.indiatimes.com/city/jammu,,"Rihanna Shuts Down Woman Outside Courthouse, Reacts To A$AP Rocky's 'Not Guilty' Verdict"
jamshedpur,https://timesofindia.indiatimes.com/city/jamshedpur,,'Typhoons To Storm Ukraine Skies': Britain To Replace Troops With Jets As Russia Threatens NATO
jodhpur,https://timesofindia.indiatimes.com/city/jodhpur,,"'You Have Succumbed To Putin...': Trump's Words Sting Zelensky, Angry Ukraine Leader Hits Back"
kanpur,https://timesofindia.indiatimes.com/city/kanpur,,Carnivore diet: Actually beneficial or just another social media obsession?
kochi,https://timesofindia.indiatimes.com/city/kochi,,"Tesla’s entry into India: Car prices, showroom locations, and key insights into Elon Musk’s EV revolution"
kohima,https://timesofindia.indiatimes.com/city/kohima,,Why India doesn't need ultra-pricey F-35s & what it should get instead
kolhapur,https://timesofindia.indiatimes.com/city/kolhapur,,"Champions Trophy: 50-over cricket’s midlife crisis, with India twist"
kozhikode,https://timesofindia.indiatimes.com/city/kozhikode,,"If 300-ft asteroid hits earth in 2032, Mumbai and Kolkata at high risk"
ludhiana,https://timesofindia.indiatimes.com/city/ludhiana,,Soha reveals Sharmila was against her marrying an actor
lucknow,https://timesofindia.indiatimes.com/city/lucknow,,When Big B refused to step out of his van during Ek Ajnabee
madurai,https://timesofindia.indiatimes.com/city/madurai,,Apoorva recalls getting angry with Abhishek at his house 
mangaluru,https://timesofindia.indiatimes.com/city/mangalore,,"Swara-Chhaava, SSR-Suicide, Zahan-SRK: Top 5 news"
meerut,https://timesofindia.indiatimes.com/city/meerut,,Celebrity Masterchef: Dipika Kakar quits the cooking show?
mumbai region,https://timesofindia.indiatimes.com/city/mumbai,,Dia Mirza's ethnic wear
mysuru,https://timesofindia.indiatimes.com/city/mysore,,Sonakshi-Zaheer's adorable pics
nagpur,https://timesofindia.indiatimes.com/city/nagpur,,Amyra Dastur's golden glamour
nashik,https://timesofindia.indiatimes.com/city/nashik,,Tamannaah's animal print outfit
navi mumbai,https://timesofindia.indiatimes.com/city/navi-mumbai,,Madhuri's white Patola saree
noida,https://timesofindia.indiatimes.com/city/noida,,Sanya redefines power dressing
patna,https://timesofindia.indiatimes.com/city/patna,,B-Town divas welcome Bappa in style
prayagraj,https://timesofindia.indiatimes.com/city/allahabad,,Urmila Matondkar the timeless beauty
puducherry,https://timesofindia.indiatimes.com/city/puducherry,,Ananya Panday's style file
pune,https://timesofindia.indiatimes.com/city/pune,,"Supreme Court Hits Ranveer For ‘Perverted’ Remarks; Passport Seized, Travel Blocked - Calls Out His ‘Dirty Mind’"
raipur,https://timesofindia.indiatimes.com/city/raipur,,"Supreme Court Hits Ranveer For ‘Perverted’ Remarks; Passport Seized, Travel Blocked - Calls Out His ‘Dirty Mind’"
rajkot,https://timesofindia.indiatimes.com/city/rajkot,,Heartbreaking Goodbye: Kim Sae-Ron’s Emotional Funeral Leaves K-Stars in Tears
ranchi,https://timesofindia.indiatimes.com/city/ranchi,,Legendary Drummer Rick Buckler of 'The Jam' Passes Away; Bandmates and Fans Pay Heartfelt Tribute
thane,https://timesofindia.indiatimes.com/city/thane,,"Ranveer Allahbadia Mysteriously Disappears Amid ‘IGL’ Controversy – Phone Dead, Police Investigation Stalled"
salem,https://timesofindia.indiatimes.com/city/salem,,"Rihanna Breaks Down In Tears, Embraces A$AP Rocky After Emotional Courtroom Victory"
shillong,https://timesofindia.indiatimes.com/city/shillong,,‘Is That PM Modi?’ Fans Go Wild Over ‘Captain America: Brave New World’; Director Responds | Watch
shimla,https://timesofindia.indiatimes.com/city/shimla,,India’s Gen Z weighs in on the Beaches vs Mountains debate — and it’s still close!
srinagar,https://timesofindia.indiatimes.com/city/srinagar,,Celebrations erupt outside Rekha Gupta’s residence as BJP names her Delhi CM
surat,https://timesofindia.indiatimes.com/city/surat,,"With Rekha Gupta, Delhi gets its fourth woman chief minister"
